Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,2890.000000,2910.000000,2820.000000,2850.000000,2362.062744,151334600
2018-07-03,2850.000000,2860.000000,2770.000000,2830.000000,2345.487061,88835200
2018-07-04,2830.000000,2950.000000,2790.000000,2930.000000,2428.366211,128906900
2018-07-05,2890.000000,2920.000000,2860.000000,2910.000000,2411.790527,63494300
2018-07-06,2910.000000,2910.000000,2840.000000,2840.000000,2353.774902,76368500
2018-07-09,2860.000000,3030.000000,2860.000000,3010.000000,2494.669678,127889400
2018-07-10,3040.000000,3080.000000,2980.000000,3050.000000,2527.821533,131641500
2018-07-11,3000.000000,3000.000000,2950.000000,2990.000000,2478.093994,133041300
2018-07-12,2960.000000,3000.000000,2950.000000,2970.000000,2461.518311,91682700
2018-07-13,2960.000000,3030.000000,2960.000000,2970.000000,2461.518311,101916100
2018-07-16,3000.000000,3010.000000,2890.000000,2970.000000,2461.518311,86614100
2018-07-17,2930.000000,2940.000000,2860.000000,2870.000000,2378.638428,137087200
2018-07-18,2870.000000,2900.000000,2850.000000,2850.000000,2362.062744,114063400
2018-07-19,2900.000000,2960.000000,2870.000000,2890.000000,2395.214600,142315400
2018-07-20,2890.000000,2980.000000,2870.000000,2980.000000,2469.806152,72551000
2018-07-23,3000.000000,3050.000000,2990.000000,3040.000000,2519.533691,88975300
2018-07-24,3060.000000,3070.000000,3010.000000,3010.000000,2494.669678,72961600
2018-07-25,2980.000000,3020.000000,2950.000000,2990.000000,2478.093994,71955500
2018-07-26,3050.000000,3070.000000,3030.000000,3040.000000,2519.533691,84696100
2018-07-27,3060.000000,3090.000000,3020.000000,3090.000000,2560.973389,54705200
2018-07-30,3100.000000,3110.000000,3070.000000,3080.000000,2552.685547,66856300
2018-07-31,3080.000000,3080.000000,3000.000000,3070.000000,2544.397461,107458400
2018-08-01,3070.000000,3200.000000,3050.000000,3190.000000,2643.852539,147098300
2018-08-02,3200.000000,3260.000000,3190.000000,3250.000000,2693.580811,158406800
2018-08-03,3270.000000,3350.000000,3230.000000,3330.000000,2759.884033,100589700
2018-08-06,3350.000000,3420.000000,3340.000000,3410.000000,2826.187256,143310900
2018-08-07,3350.000000,3400.000000,3330.000000,3350.000000,2776.459961,89404000
2018-08-08,3400.000000,3400.000000,3310.000000,3330.000000,2759.884033,90710200
2018-08-09,3330.000000,3350.000000,3300.000000,3330.000000,2759.884033,69654300
2018-08-10,3350.000000,3470.000000,3350.000000,3390.000000,2809.611816,115961500
2018-08-13,3300.000000,3320.000000,3130.000000,3140.000000,2602.413086,179328600
2018-08-14,3090.000000,3150.000000,3040.000000,3130.000000,2594.125244,154831700
2018-08-15,3150.000000,3220.000000,3020.000000,3210.000000,2660.428711,138367300
2018-08-16,3180.000000,3180.000000,3050.000000,3050.000000,2527.821533,163665300
2018-08-17,3050.000000,3050.000000,3050.000000,3050.000000,2527.821533,0
2018-08-20,3080.000000,3190.000000,3080.000000,3180.000000,2635.564941,101377000
2018-08-21,3130.000000,3180.000000,3120.000000,3150.000000,2610.700928,59513000
2018-08-22,3150.000000,3150.000000,3150.000000,3150.000000,2610.700928,0
2018-08-23,3180.000000,3270.000000,3130.000000,3270.000000,2710.156250,155835200
2018-08-24,3270.000000,3290.000000,3230.000000,3270.000000,2710.156250,96811700
2018-08-27,3320.000000,3380.000000,3290.000000,3380.000000,2801.323486,112367400
2018-08-28,3330.000000,3380.000000,3300.000000,3330.000000,2759.884033,99638200
2018-08-29,3260.000000,3300.000000,3250.000000,3290.000000,2726.732178,79096600
2018-08-30,3290.000000,3310.000000,3190.000000,3190.000000,2643.852539,83543000
2018-08-31,3180.000000,3180.000000,3110.000000,3180.000000,2635.564941,142665100
2018-09-03,3180.000000,3220.000000,3160.000000,3170.000000,2627.276855,64396700
2018-09-04,3200.000000,3200.000000,3090.000000,3110.000000,2577.549316,76142400
2018-09-05,3070.000000,3070.000000,2900.000000,2930.000000,2428.366211,212574400
2018-09-06,2910.000000,2990.000000,2910.000000,2960.000000,2453.230225,205998900
2018-09-07,2980.000000,3030.000000,2960.000000,3030.000000,2511.246094,141556200
2018-09-10,3030.000000,3030.000000,2960.000000,2970.000000,2461.518311,86547600
2018-09-11,2970.000000,2970.000000,2970.000000,2970.000000,2461.518311,0
2018-09-12,2980.000000,3010.000000,2910.000000,2910.000000,2411.790527,118077900
2018-09-13,2960.000000,3010.000000,2960.000000,3000.000000,2486.381836,125523000
2018-09-14,3030.000000,3070.000000,3000.000000,3070.000000,2544.397461,105124900
2018-09-17,3060.000000,3060.000000,2950.000000,2970.000000,2461.518311,91365700
2018-09-18,2970.000000,2980.000000,2920.000000,2940.000000,2436.654541,138381800
2018-09-19,2970.000000,3020.000000,2970.000000,3000.000000,2486.381836,105405100
2018-09-20,3050.000000,3120.000000,3020.000000,3090.000000,2560.973389,154589900
2018-09-21,3150.000000,3190.000000,3120.000000,3120.000000,2585.837158,203213300
2018-09-24,3120.000000,3120.000000,3000.000000,3010.000000,2494.669678,95256300
2018-09-25,3010.000000,3030.000000,2980.000000,3030.000000,2511.246094,110115400
2018-09-26,3030.000000,3060.000000,2990.000000,2990.000000,2478.093994,66799500
2018-09-27,3000.000000,3080.000000,3000.000000,3070.000000,2544.397461,123373000
2018-09-28,3090.000000,3170.000000,3080.000000,3150.000000,2610.700928,154582600
2018-10-01,3150.000000,3190.000000,3150.000000,3180.000000,2635.564941,91436300
2018-10-02,3150.000000,3180.000000,3080.000000,3110.000000,2577.549316,132361000
2018-10-03,3150.000000,3150.000000,3080.000000,3100.000000,2569.261475,70057000
2018-10-04,3060.000000,3060.000000,2980.000000,3000.000000,2486.381836,147172500
2018-10-05,3000.000000,3040.000000,2960.000000,2980.000000,2469.806152,145459400
2018-10-08,2970.000000,3010.000000,2960.000000,2970.000000,2461.518311,64842800
2018-10-09,2970.000000,3030.000000,2970.000000,3020.000000,2502.957764,51204000
2018-10-10,3030.000000,3040.000000,3010.000000,3010.000000,2494.669678,61258600
2018-10-11,2930.000000,2950.000000,2870.000000,2910.000000,2411.790527,175505100
2018-10-12,2930.000000,2990.000000,2920.000000,2950.000000,2444.941895,118327100
2018-10-15,2960.000000,3030.000000,2960.000000,3000.000000,2486.381836,85743500
2018-10-16,3000.000000,3020.000000,2960.000000,3000.000000,2486.381836,65060100
2018-10-17,3060.000000,3080.000000,3030.000000,3070.000000,2544.397461,80082100
2018-10-18,3070.000000,3100.000000,3050.000000,3090.000000,2560.973389,65133400
2018-10-19,3070.000000,3090.000000,3020.000000,3020.000000,2502.957764,80989700
2018-10-22,3010.000000,3080.000000,3010.000000,3050.000000,2527.821533,48806100
2018-10-23,3040.000000,3070.000000,3010.000000,3020.000000,2502.957764,58554200
2018-10-24,3000.000000,3040.000000,2950.000000,2950.000000,2444.941895,84562000
2018-10-25,2910.000000,3000.000000,2910.000000,3000.000000,2486.381836,131210200
2018-10-26,3000.000000,3020.000000,2980.000000,2990.000000,2478.093994,66228600
2018-10-29,3000.000000,3020.000000,2950.000000,2950.000000,2444.941895,51288900
2018-10-30,2960.000000,3030.000000,2950.000000,3030.000000,2511.246094,72385100
2018-10-31,3050.000000,3150.000000,3030.000000,3150.000000,2610.700928,218534400
2018-11-01,3190.000000,3250.000000,3160.000000,3200.000000,2652.140869,197180000
2018-11-02,3240.000000,3290.000000,3190.000000,3280.000000,2718.444092,167275500
2018-11-05,3260.000000,3280.000000,3220.000000,3270.000000,2710.156250,79594900
2018-11-06,3280.000000,3330.000000,3260.000000,3330.000000,2759.884033,139465400
2018-11-07,3340.000000,3370.000000,3310.000000,3370.000000,2793.035645,162720800
2018-11-08,3400.000000,3490.000000,3390.000000,3450.000000,2859.339111,200247500
